Product_Category,Product_Sub_Category,Price,Discount
Home & Garden,Gardening Tools,419.19,0.0
Electronics,Laptops,222.37,0.09
Electronics,Laptops,1107.65,0.0
Electronics,Gaming Consoles,288.84,0.0
Electronics,Headphones,191.27,0.0
Clothing,Shoes,200.47,0.37
Beauty,Personal Care,115.09,0.08
Clothing,Shoes,118.51,0.0
Books,Non-Fiction,30.23,0.0
Home & Garden,Furniture,285.41,0.0
Beauty,Personal Care,27.53,0.0
Beauty,Skincare,16.59,0.0
Electronics,Smart Watches,1417.28,0.0
Sports,Water Sports,262.59,0.27
Sports,Winter Sports,204.56,0.0
Electronics,Tablets,1884.25,0.41
Home & Garden,Bedding,799.61,0.29
Clothing,Accessories,29.9,0.0
Clothing,Mens Shirts,84.81,0.0
Home & Garden,Gardening Tools,314.05,0.0
Electronics,Tablets,694.07,0.0
Electronics,Tablets,253.74,0.0
Home & Garden,Kitchen Appliances,610.83,0.0
Electronics,Headphones,836.92,0.0
Home & Garden,Kitchen Appliances,352.35,0.0
Clothing,Jeans,222.19,0.0
Electronics,Smartphones,1078.15,0.0
Home & Garden,Storage,425.3,0.0
Books,Non-Fiction,11.25,0.0
Home & Garden,Gardening Tools,452.26,0.0
Books,Fiction,10.24,0.34
Sports,Water Sports,171.47,0.27
Home & Garden,Bedding,68.52,0.0
Home & Garden,Storage,401.38,0.19
Books,Magazines,50.02,0.0
Electronics,Gaming Consoles,1895.22,0.35
Beauty,Personal Care,32.95,0.0
Sports,Fitness Equipment,324.62,0.1
Home & Garden,Gardening Tools,700.26,0.0
Home & Garden,Kitchen Appliances,647.89,0.0
Home & Garden,Home Decor,145.43,0.18
Clothing,Womens Dresses,53.62,0.0
Beauty,Skincare,93.51,0.0
Books,Educational,46.38,0.11
Home & Garden,Kitchen Appliances,221.45,0.1
Books,Fiction,30.98,0.0
Electronics,Headphones,188.5,0.0
Clothing,Sportswear,120.87,0.0
Home & Garden,Kitchen Appliances,590.56,0.0
Home & Garden,Gardening Tools,71.4,0.17
Sports,Team Sports,336.83,0.0
Electronics,Smartphones,1866.41,0.0
